timestamp,long_short_ratio,long_account,short_account
1782933300000,2.7175,0.7310,0.2690
1782933600000,2.7189,0.7311,0.2689
1782933900000,2.7147,0.7308,0.2692
1782934200000,2.7341,0.7322,0.2678
1782934500000,2.7425,0.7328,0.2672
1782934800000,2.7397,0.7326,0.2674
1782935100000,2.7383,0.7325,0.2675
1782935400000,2.7369,0.7324,0.2676
1782935700000,2.7327,0.7321,0.2679
1782936000000,2.7383,0.7325,0.2675
1782936300000,2.7313,0.7320,0.2680
1782936600000,2.7327,0.7321,0.2679
1782936900000,2.7369,0.7324,0.2676
1782937200000,2.7313,0.7320,0.2680
1782937500000,2.7355,0.7323,0.2677
1782937800000,2.7383,0.7325,0.2675
1782938100000,2.7425,0.7328,0.2672
1782938400000,2.7411,0.7327,0.2673
1782938700000,2.7397,0.7326,0.2674
1782939000000,2.7425,0.7328,0.2672
1782939300000,2.7369,0.7324,0.2676
1782939600000,2.7411,0.7327,0.2673
1782939900000,2.7425,0.7328,0.2672
1782940200000,2.7467,0.7331,0.2669
1782940500000,2.7523,0.7335,0.2665
1782940800000,2.7509,0.7334,0.2666
1782941100000,2.7495,0.7333,0.2667
1782941400000,2.7467,0.7331,0.2669
1782941700000,2.7509,0.7334,0.2666
1782942000000,2.7552,0.7337,0.2663
1782942300000,2.7651,0.7344,0.2656
1782942600000,2.7580,0.7339,0.2661
1782942900000,2.7608,0.7341,0.2659
1782943200000,2.7622,0.7342,0.2658
1782943500000,2.7608,0.7341,0.2659
1782943800000,2.7566,0.7338,0.2662
1782944100000,2.7552,0.7337,0.2663
1782944400000,2.7538,0.7336,0.2664
1782944700000,2.7693,0.7347,0.2653
1782945000000,2.7594,0.7340,0.2660
1782945300000,2.7467,0.7331,0.2669
1782945600000,2.7327,0.7321,0.2679
1782945900000,2.7286,0.7318,0.2682
1782946200000,2.7327,0.7321,0.2679
1782946500000,2.7313,0.7320,0.2680
1782946800000,2.7300,0.7319,0.2681
1782947100000,2.7300,0.7319,0.2681
1782947400000,2.7272,0.7317,0.2683
1782947700000,2.7216,0.7313,0.2687
1782948000000,2.7258,0.7316,0.2684
1782948300000,2.7286,0.7318,0.2682
1782948600000,2.7272,0.7317,0.2683
1782948900000,2.7341,0.7322,0.2678
1782949200000,2.7397,0.7326,0.2674
1782949500000,2.7411,0.7327,0.2673
1782949800000,2.7425,0.7328,0.2672
1782950100000,2.7425,0.7328,0.2672
1782950400000,2.7411,0.7327,0.2673
1782950700000,2.7580,0.7339,0.2661
1782951000000,2.7622,0.7342,0.2658
1782951300000,2.7622,0.7342,0.2658
1782951600000,2.7594,0.7340,0.2660
1782951900000,2.7651,0.7344,0.2656
1782952200000,2.7707,0.7348,0.2652
1782952500000,2.7764,0.7352,0.2648
1782952800000,2.7779,0.7353,0.2647
1782953100000,2.7764,0.7352,0.2648
1782953400000,2.7821,0.7356,0.2644
1782953700000,2.7893,0.7361,0.2639
1782954000000,2.7965,0.7366,0.2634
1782954300000,2.7979,0.7367,0.2633
1782954600000,2.8037,0.7371,0.2629
1782954900000,2.8139,0.7378,0.2622
1782955200000,2.8153,0.7379,0.2621
1782955500000,2.8153,0.7379,0.2621
1782955800000,2.8124,0.7377,0.2623
1782956100000,2.8153,0.7379,0.2621
1782956400000,2.8212,0.7383,0.2617
1782956700000,2.8197,0.7382,0.2618
1782957000000,2.8168,0.7380,0.2620
