timestamp,sum_oi,sum_oi_value
1782933000000,569071.57000000,315385154.80970000
1782933300000,569190.41000000,315274568.09900000
1782933600000,569253.51000000,315281056.51350000
1782933900000,569227.00000000,315235731.50428860
1782934200000,569734.82000000,313934571.28200930
1782934500000,569434.94000000,314538740.69203060
1782934800000,569516.07000000,314424127.08630000
1782935100000,569503.58000000,314321855.68116087
1782935400000,569500.52000000,314222353.92782860
1782935700000,569530.46000000,314169364.16386604
1782936000000,569703.38000000,314216278.49486540
1782936300000,569900.83000000,314031831.88641745
1782936600000,569936.54000000,314107108.55835450
1782936900000,569924.97000000,314290050.08927876
1782937200000,569944.98000000,313884609.67369646
1782937500000,570142.77000000,314269538.53844110
1782937800000,570044.24000000,314314497.11884373
1782938100000,569991.65000000,314325311.59755486
1782938400000,570141.18000000,314284799.65528060
1782938700000,570076.84000000,314425346.16469640
1782939000000,570024.93000000,314813368.34040000
1782939300000,570030.98000000,314759706.53640000
1782939600000,569638.77000000,314902208.55779990
1782939900000,569563.07000000,315190507.30730000
1782940200000,569647.84000000,315440354.99274087
1782940500000,569636.57000000,315886263.52780000
1782940800000,569748.11000000,316059147.52811813
1782941100000,569627.58000000,315639512.25601673
1782941400000,569444.89000000,315899552.72750000
1782941700000,569629.25000000,316559506.23294520
1782942000000,569573.13000000,317013012.69540000
1782942300000,569839.96000000,317063808.04536563
1782942600000,570077.09000000,317336213.53582410
1782942900000,570073.14000000,317354016.30660000
1782943200000,570260.82000000,317412875.02020000
1782943500000,570308.31000000,317353762.18260000
1782943800000,570517.15000000,317576796.38387990
1782944100000,570573.49000000,317881446.67203814
1782944400000,570733.11000000,317983952.23650000
1782944700000,569905.10000000,318106672.38088614
1782945000000,570435.02000000,317139053.71920000
1782945300000,570914.83000000,316983331.91260000
1782945600000,570861.68000000,316567464.86822110
1782945900000,571048.26000000,316509003.88393027
1782946200000,570649.18000000,316240180.76944464
1782946500000,570972.00000000,316157776.51116000
1782946800000,571067.40000000,316445578.36200000
1782947100000,571138.57000000,315706121.79403657
1782947400000,571206.66000000,316025796.71160000
1782947700000,571252.32000000,315634044.36960000
1782948000000,571291.43000000,315965911.79031605
1782948300000,571314.96000000,315582957.60480000
1782948600000,571361.39000000,315471477.87460000
1782948900000,571164.93000000,315134538.47820000
1782949200000,571375.77000000,314930896.90860000
1782949500000,571367.26000000,315040479.81880000
1782949800000,571262.95000000,314554606.20725846
1782950100000,571391.72000000,314953763.53896760
1782950400000,571350.06000000,314692252.40231204
1782950700000,571212.85000000,313848112.52639130
1782951000000,571138.07000000,313960308.45970000
1782951300000,571325.59000000,314103382.87020000
1782951600000,571185.35000000,313161289.17875344
1782951900000,571155.75000000,313593064.53750000
1782952200000,571446.85000000,313329745.28606710
1782952500000,571085.10000000,312851550.62144560
1782952800000,570765.47000000,312397064.69510000
1782953100000,570690.76000000,312209360.30545630
1782953400000,570763.59000000,312852646.58670000
1782953700000,570418.97000000,312681805.99972610
1782954000000,570758.20000000,312743469.63589640
1782954300000,570846.23000000,312917914.93400270
1782954600000,570806.29000000,313526770.90830000
1782954900000,571011.40000000,313758994.68725467
1782955200000,570931.43000000,314029414.44290000
1782955500000,571068.93000000,314060747.65265940
1782955800000,571267.41000000,314379881.07120000
1782956100000,571125.50000000,314575925.40000000
1782956400000,571367.51000000,315137750.14050000
1782956700000,571625.51000000,314965656.01000000
1782957000000,571662.75000000,315026256.90351950
1782957300000,571784.98000000,314774872.99810760
