timestamp,buy_sell_ratio,buy_vol,sell_vol
1782932700000,0.9557,230.9800,241.6800
1782933000000,1.4504,267.2000,184.2200
1782933300000,1.7182,402.6400,234.3400
1782933600000,1.4158,385.4400,272.2400
1782933900000,0.2637,1114.5500,4226.9400
1782934200000,0.8000,1532.6600,1915.8900
1782934500000,1.2663,542.4100,428.3400
1782934800000,1.0607,602.2400,567.7600
1782935100000,1.7564,562.1200,320.0500
1782935400000,0.9897,363.4800,367.2500
1782935700000,0.6625,958.0500,1446.0300
1782936000000,1.6642,858.4900,515.8500
1782936300000,1.1765,546.8200,464.7800
1782936600000,1.1290,283.4500,251.0600
1782936900000,1.5010,1013.6200,675.3000
1782937200000,1.4155,476.6000,336.6900
1782937500000,0.8301,348.1000,419.3400
1782937800000,1.1508,450.4700,391.4300
1782938100000,2.7353,418.0700,152.8400
1782938400000,0.9820,487.7600,496.6900
1782938700000,1.2204,217.8500,178.5000
1782939000000,1.5521,369.1300,237.8200
1782939300000,0.5295,398.9000,753.3800
1782939600000,2.7343,911.0000,333.1800
1782939900000,1.2380,674.8800,545.1400
1782940200000,1.4590,928.4000,636.3200
1782940500000,1.0250,485.0800,473.2300
1782940800000,0.8429,438.9500,520.7500
1782941100000,1.5424,1134.4100,735.4900
1782941400000,2.4025,976.6200,406.5100
1782941700000,2.3338,2144.0200,918.6800
1782942000000,0.9112,1150.0400,1262.0700
1782942300000,1.0427,448.4600,430.0800
1782942600000,1.3569,813.9600,599.8500
1782942900000,1.4250,754.9300,529.7900
1782943200000,1.4035,690.7500,492.1600
1782943500000,2.1664,744.4900,343.6600
1782943800000,2.1587,816.9100,378.4200
1782944100000,0.9891,508.0800,513.6800
1782944400000,1.0697,7360.2500,6880.6900
1782944700000,0.7669,1709.0600,2228.5800
1782945000000,1.2340,1795.3100,1454.9200
1782945300000,0.6278,613.7500,977.6200
1782945600000,2.5210,1150.0900,456.2000
1782945900000,0.5892,709.9000,1204.9000
1782946200000,0.8031,581.1500,723.6000
1782946500000,1.2144,445.0000,366.4300
1782946800000,1.1927,1483.2100,1243.5300
1782947100000,1.4173,528.0600,372.5700
1782947400000,1.5438,635.7400,411.7900
1782947700000,1.6228,575.1600,354.4200
1782948000000,0.9901,429.4100,433.7200
1782948300000,1.0003,342.6500,342.5500
1782948600000,0.5385,398.4400,739.8900
1782948900000,0.9270,1264.3400,1363.9200
1782949200000,1.4519,572.3400,394.2100
1782949500000,0.9035,796.4500,881.5400
1782949800000,1.9523,710.7700,364.0600
1782950100000,1.4007,534.5500,381.6400
1782950400000,0.4322,1541.9400,3567.3700
1782950700000,1.3825,1156.6800,836.6800
1782951000000,2.3196,718.1900,309.6200
1782951300000,0.5043,898.3700,1781.5200
1782951600000,0.7802,948.1100,1215.1600
1782951900000,0.5000,413.1100,826.2600
1782952200000,0.6723,902.7900,1342.9200
1782952500000,0.6588,892.1900,1354.1900
1782952800000,0.8412,1272.2500,1512.4800
1782953100000,2.7884,1135.1700,407.1000
1782953400000,1.5489,1059.3000,683.9000
1782953700000,1.0089,607.6300,602.2600
1782954000000,2.0259,1039.4900,513.1000
1782954300000,2.9124,1117.1400,383.5800
1782954600000,1.4406,743.1000,515.8100
1782954900000,1.1795,797.7000,676.3200
1782955200000,2.1784,868.3500,398.6100
1782955500000,1.3835,791.8500,572.3500
1782955800000,1.0932,920.3900,841.9400
1782956100000,1.7238,693.5300,402.3200
1782956400000,1.1952,943.6900,789.5800
1782956700000,1.5377,713.9300,464.2700
1782957000000,0.9119,594.0100,651.4000
1782957300000,0.7325,404.8800,552.7600
1782957600000,1.2118,719.1000,593.4100
1782957900000,0.7757,514.1700,662.8300
1782958200000,1.0151,492.3100,484.9700
1782958500000,1.5106,517.3100,342.4600
1782958800000,1.3481,388.5900,288.2600
1782959100000,2.6031,746.6900,286.8500
1782959400000,2.0502,1149.0400,560.4500
1782959700000,0.6319,804.0300,1272.4100
1782960000000,1.0849,433.4600,399.5300
