timestamp,open,high,low,close,volume
1782767100000,7.425,7.430,7.418,7.426,23241.13
1782767400000,7.427,7.459,7.426,7.452,40656.46
1782767700000,7.452,7.452,7.435,7.438,17749.31
1782768000000,7.438,7.444,7.435,7.437,11871.43
1782768300000,7.437,7.447,7.435,7.446,12459.21
1782768600000,7.447,7.458,7.447,7.453,20110.62
1782768900000,7.454,7.463,7.450,7.463,16230.06
1782769200000,7.462,7.467,7.459,7.466,33004.65
1782769500000,7.466,7.472,7.464,7.464,14128.47
1782769800000,7.464,7.470,7.460,7.470,9235.57
1782770100000,7.470,7.470,7.449,7.450,6706.27
1782770400000,7.451,7.460,7.446,7.453,15394.13
1782770700000,7.453,7.461,7.445,7.454,9625.31
1782771000000,7.454,7.454,7.437,7.447,12327.45
1782771300000,7.448,7.451,7.433,7.443,8480.05
1782771600000,7.442,7.450,7.436,7.436,8113.90
1782771900000,7.436,7.439,7.432,7.433,6497.36
1782772200000,7.433,7.436,7.424,7.425,7630.50
1782772500000,7.424,7.425,7.418,7.421,22482.45
1782772800000,7.420,7.432,7.418,7.427,14403.23
1782773100000,7.428,7.428,7.423,7.425,9699.89
1782773400000,7.424,7.431,7.416,7.430,27081.14
1782773700000,7.429,7.429,7.405,7.406,34205.21
1782774000000,7.406,7.408,7.399,7.402,34640.97
1782774300000,7.401,7.404,7.397,7.400,20454.99
1782774600000,7.400,7.402,7.390,7.396,35807.13
1782774900000,7.397,7.399,7.390,7.391,22167.28
1782775200000,7.391,7.391,7.367,7.375,55295.92
1782775500000,7.375,7.377,7.371,7.371,15724.30
1782775800000,7.370,7.381,7.367,7.378,102106.77
1782776100000,7.377,7.382,7.375,7.375,16079.24
1782776400000,7.375,7.380,7.372,7.376,41045.80
1782776700000,7.376,7.388,7.373,7.377,24039.50
1782777000000,7.377,7.381,7.372,7.377,14083.19
1782777300000,7.376,7.379,7.370,7.377,26687.90
1782777600000,7.376,7.383,7.367,7.381,48701.12
1782777900000,7.381,7.382,7.367,7.368,38039.70
1782778200000,7.367,7.381,7.364,7.374,55067.33
1782778500000,7.375,7.393,7.369,7.383,36662.21
1782778800000,7.383,7.384,7.371,7.374,29257.89
1782779100000,7.375,7.378,7.328,7.330,79126.24
1782779400000,7.329,7.330,7.290,7.319,168512.02
1782779700000,7.319,7.328,7.310,7.317,84849.05
1782780000000,7.318,7.327,7.311,7.326,54871.68
1782780300000,7.327,7.334,7.316,7.321,39736.01
1782780600000,7.321,7.323,7.303,7.312,35136.17
1782780900000,7.312,7.315,7.304,7.304,25770.34
1782781200000,7.305,7.309,7.287,7.301,52898.17
1782781500000,7.300,7.300,7.273,7.276,71964.61
1782781800000,7.277,7.293,7.267,7.291,54727.34
1782782100000,7.291,7.313,7.287,7.309,27209.35
