timestamp,long_short_ratio,long_account,short_account
1782933300000,1.7042,0.6302,0.3698
1782933600000,1.7064,0.6305,0.3695
1782933900000,1.7049,0.6303,0.3697
1782934200000,1.7027,0.6300,0.3700
1782934500000,1.6954,0.6290,0.3710
1782934800000,1.6969,0.6292,0.3708
1782935100000,1.6991,0.6295,0.3705
1782935400000,1.6983,0.6294,0.3706
1782935700000,1.6976,0.6293,0.3707
1782936000000,1.6911,0.6284,0.3716
1782936300000,1.6911,0.6284,0.3716
1782936600000,1.6918,0.6285,0.3715
1782936900000,1.6940,0.6288,0.3712
1782937200000,1.6947,0.6289,0.3711
1782937500000,1.6925,0.6286,0.3714
1782937800000,1.6932,0.6287,0.3713
1782938100000,1.6911,0.6284,0.3716
1782938400000,1.6911,0.6284,0.3716
1782938700000,1.6903,0.6283,0.3717
1782939000000,1.6903,0.6283,0.3717
1782939300000,1.6889,0.6281,0.3719
1782939600000,1.6889,0.6281,0.3719
1782939900000,1.6896,0.6282,0.3718
1782940200000,1.6889,0.6281,0.3719
1782940500000,1.6889,0.6281,0.3719
1782940800000,1.6961,0.6291,0.3709
1782941100000,1.6961,0.6291,0.3709
1782941400000,1.6903,0.6283,0.3717
1782941700000,1.7049,0.6303,0.3697
1782942000000,1.6867,0.6278,0.3722
1782942300000,1.6903,0.6283,0.3717
1782942600000,1.6896,0.6282,0.3718
1782942900000,1.6969,0.6292,0.3708
1782943200000,1.6983,0.6294,0.3706
1782943500000,1.7100,0.6310,0.3690
1782943800000,1.7100,0.6310,0.3690
1782944100000,1.7078,0.6307,0.3693
1782944400000,1.7049,0.6303,0.3697
1782944700000,1.6969,0.6292,0.3708
1782945000000,1.6947,0.6289,0.3711
1782945300000,1.6969,0.6292,0.3708
1782945600000,1.6961,0.6291,0.3709
1782945900000,1.6976,0.6293,0.3707
1782946200000,1.6983,0.6294,0.3706
1782946500000,1.7034,0.6301,0.3699
1782946800000,1.7027,0.6300,0.3700
1782947100000,1.6925,0.6286,0.3714
1782947400000,1.6918,0.6285,0.3715
1782947700000,1.6918,0.6285,0.3715
1782948000000,1.6932,0.6287,0.3713
1782948300000,1.6947,0.6289,0.3711
1782948600000,1.7027,0.6300,0.3700
1782948900000,1.7012,0.6298,0.3702
1782949200000,1.7034,0.6301,0.3699
1782949500000,1.7042,0.6302,0.3698
1782949800000,1.7285,0.6335,0.3665
1782950100000,1.7420,0.6353,0.3647
1782950400000,1.7473,0.6360,0.3640
1782950700000,1.7533,0.6368,0.3632
1782951000000,1.7503,0.6364,0.3636
1782951300000,1.7503,0.6364,0.3636
1782951600000,1.7556,0.6371,0.3629
1782951900000,1.7525,0.6367,0.3633
1782952200000,1.7525,0.6367,0.3633
1782952500000,1.7533,0.6368,0.3632
1782952800000,1.7548,0.6370,0.3630
1782953100000,1.7518,0.6366,0.3634
1782953400000,1.7548,0.6370,0.3630
1782953700000,1.7601,0.6377,0.3623
1782954000000,1.7609,0.6378,0.3622
1782954300000,1.7632,0.6381,0.3619
1782954600000,1.7678,0.6387,0.3613
1782954900000,1.7886,0.6414,0.3586
1782955200000,1.7941,0.6421,0.3579
1782955500000,1.7964,0.6424,0.3576
1782955800000,1.7956,0.6423,0.3577
1782956100000,1.7910,0.6417,0.3583
1782956400000,1.7980,0.6426,0.3574
1782956700000,1.7878,0.6413,0.3587
1782957000000,1.7840,0.6408,0.3592
1782957300000,1.7840,0.6408,0.3592
1782957600000,1.7709,0.6391,0.3609
1782957900000,1.7709,0.6391,0.3609
1782958200000,1.7747,0.6396,0.3604
1782958500000,1.7778,0.6400,0.3600
1782958800000,1.7910,0.6417,0.3583
1782959100000,1.7925,0.6419,0.3581
1782959400000,1.7925,0.6419,0.3581
1782959700000,1.7980,0.6426,0.3574
1782960000000,1.8003,0.6429,0.3571
1782960300000,1.8027,0.6432,0.3568
1782960600000,1.8074,0.6438,0.3562
1782960900000,1.8114,0.6443,0.3557
1782961200000,1.8145,0.6447,0.3553
1782961500000,1.8090,0.6440,0.3560
1782961800000,1.8121,0.6444,0.3556
1782962100000,1.8129,0.6445,0.3555
1782962400000,1.8137,0.6446,0.3554
1782962700000,1.8114,0.6443,0.3557
1782963000000,1.8058,0.6436,0.3564
1782963300000,1.8058,0.6436,0.3564
1782963600000,1.8027,0.6432,0.3568
1782963900000,1.8043,0.6434,0.3566
1782964200000,1.8003,0.6429,0.3571
1782964500000,1.8027,0.6432,0.3568
1782964800000,1.8027,0.6432,0.3568
1782965100000,1.8121,0.6444,0.3556
1782965400000,1.8074,0.6438,0.3562
1782965700000,1.8050,0.6435,0.3565
1782966000000,1.8050,0.6435,0.3565
1782966300000,1.8050,0.6435,0.3565
1782966600000,1.8035,0.6433,0.3567
1782966900000,1.8027,0.6432,0.3568
1782967200000,1.8019,0.6431,0.3569
1782967500000,1.7949,0.6422,0.3578
1782967800000,1.7996,0.6428,0.3572
1782968100000,1.7980,0.6426,0.3574
1782968400000,1.7988,0.6427,0.3573
1782968700000,1.8019,0.6431,0.3569
1782969000000,1.8011,0.6430,0.3570
1782969300000,1.8019,0.6431,0.3569
1782969600000,1.8003,0.6429,0.3571
1782969900000,1.8011,0.6430,0.3570
1782970200000,1.7988,0.6427,0.3573
1782970500000,1.8003,0.6429,0.3571
1782970800000,1.8003,0.6429,0.3571
1782971100000,1.7949,0.6422,0.3578
1782971400000,1.7933,0.6420,0.3580
1782971700000,1.7925,0.6419,0.3581
1782972000000,1.7871,0.6412,0.3588
1782972300000,1.7917,0.6418,0.3582
1782972600000,1.7917,0.6418,0.3582
1782972900000,1.7917,0.6418,0.3582
1782973200000,1.7917,0.6418,0.3582
1782973500000,1.7925,0.6419,0.3581
1782973800000,1.7964,0.6424,0.3576
1782974100000,1.7956,0.6423,0.3577
1782974400000,1.7964,0.6424,0.3576
1782974700000,1.7980,0.6426,0.3574
1782975000000,1.7972,0.6425,0.3575
1782975300000,1.7972,0.6425,0.3575
1782975600000,1.7980,0.6426,0.3574
1782975900000,1.7964,0.6424,0.3576
1782976200000,1.7949,0.6422,0.3578
1782976500000,1.7925,0.6419,0.3581
1782976800000,1.7949,0.6422,0.3578
1782977100000,1.7941,0.6421,0.3579
1782977400000,1.7917,0.6418,0.3582
1782977700000,1.7933,0.6420,0.3580
1782978000000,1.7917,0.6418,0.3582
1782978300000,1.7988,0.6427,0.3573
1782978600000,1.8011,0.6430,0.3570
1782978900000,1.8011,0.6430,0.3570
1782979200000,1.8011,0.6430,0.3570
1782979500000,1.8043,0.6434,0.3566
1782979800000,1.8019,0.6431,0.3569
1782980100000,1.8050,0.6435,0.3565
1782980400000,1.8050,0.6435,0.3565
1782980700000,1.8098,0.6441,0.3559
1782981000000,1.8153,0.6448,0.3552
1782981300000,1.8193,0.6453,0.3547
1782981600000,1.8217,0.6456,0.3544
1782981900000,1.8233,0.6458,0.3542
1782982200000,1.8225,0.6457,0.3543
1782982500000,1.8209,0.6455,0.3545
1782982800000,1.8233,0.6458,0.3542
1782983100000,1.8241,0.6459,0.3541
1782983400000,1.8257,0.6461,0.3539
1782983700000,1.8273,0.6463,0.3537
1782984000000,1.8233,0.6458,0.3542
1782984300000,1.8281,0.6464,0.3536
1782984600000,1.8225,0.6457,0.3543
1782984900000,1.8289,0.6465,0.3535
1782985200000,1.8289,0.6465,0.3535
1782985500000,1.8153,0.6448,0.3552
1782985800000,1.8153,0.6448,0.3552
1782986100000,1.8177,0.6451,0.3549
1782986400000,1.8193,0.6453,0.3547
1782986700000,1.7925,0.6419,0.3581
1782987000000,1.7996,0.6428,0.3572
1782987300000,1.8003,0.6429,0.3571
1782987600000,1.7972,0.6425,0.3575
1782987900000,1.7941,0.6421,0.3579
1782988200000,1.8003,0.6429,0.3571
1782988500000,1.8011,0.6430,0.3570
1782988800000,1.7980,0.6426,0.3574
1782989100000,1.7910,0.6417,0.3583
1782989400000,1.7840,0.6408,0.3592
1782989700000,1.7809,0.6404,0.3596
1782990000000,1.7793,0.6402,0.3598
1782990300000,1.7809,0.6404,0.3596
1782990600000,1.7832,0.6407,0.3593
1782990900000,1.7824,0.6406,0.3594
1782991200000,1.7801,0.6403,0.3597
1782991500000,1.7778,0.6400,0.3600
1782991800000,1.7762,0.6398,0.3602
1782992100000,1.7778,0.6400,0.3600
