timestamp,sum_oi,sum_oi_value
1782933300000,8243941.43000000,60883584.19183563
1782933600000,8249811.65000000,60949608.47020000
1782933900000,8251866.08000000,60907023.53648000
1782934200000,8267489.69000000,60898257.70810398
1782934500000,8278534.71000000,61142263.10484074
1782934800000,8285277.20000000,61156703.27683853
1782935100000,8292778.72000000,61167535.83872000
1782935400000,8289296.50000000,61058958.01900000
1782935700000,8293927.75000000,61093071.80650000
1782936000000,8315764.92000000,61338177.06984466
1782936300000,8321953.11000000,61299506.60826000
1782936600000,8324840.67000000,61338498.54578352
1782936900000,8321966.59000000,61457723.26715000
1782937200000,8321401.48000000,61270479.09724000
1782937500000,8321922.74000000,61374180.20750000
1782937800000,8317650.80000000,61365265.72227883
1782938100000,8318275.52000000,61380555.06208000
1782938400000,8317885.35000000,61369358.11230000
1782938700000,8318158.86000000,61446239.49882000
1782939000000,8316924.95000000,61561878.47990000
1782939300000,8313454.87000000,61502028.88808628
1782939600000,8311368.53000000,61545683.96465000
1782939900000,8311442.89000000,61579480.37201000
1782940200000,8313647.65000000,61685976.36565892
1782940500000,8317475.63000000,61825606.15731233
1782940800000,8322704.06000000,61929240.91046000
1782941100000,8322635.84000000,61887120.10624000
1782941400000,8319108.33000000,61879227.68513615
1782941700000,8319017.73000000,62214109.10064898
1782942000000,8330648.65000000,62171630.87495000
1782942300000,8322139.41000000,62188525.35734910
1782942600000,8327130.47000000,62270281.65466000
1782942900000,8327220.84000000,62270957.44152000
1782943200000,8327055.83000000,62261584.38256008
1782943500000,8471396.74000000,63264390.85432000
1782943800000,8465422.20000000,63175870.80214547
1782944100000,8471272.93000000,63283378.05297469
1782944400000,8473536.97000000,63331215.31378000
1782944700000,8477139.25000000,63578544.37500000
1782945000000,8494124.88000000,63425630.47896000
1782945300000,8475929.22000000,63284591.04993349
1782945600000,8474293.62000000,63231727.41264857
1782945900000,8468111.30000000,63121301.63020000
1782946200000,8466544.46000000,63041943.89638276
1782946500000,8464585.70000000,63018840.53650000
1782946800000,8461689.81000000,62975594.33986975
1782947100000,8429577.02000000,62614898.10456000
1782947400000,8426668.97000000,62635430.45401000
1782947700000,8424228.48000000,62470818.98943880
1782948000000,8421233.53000000,62493974.02613000
1782948300000,8418583.19000000,62383771.65169226
1782948600000,8407454.10000000,62299234.88100000
1782948900000,8408304.99000000,62187823.70604000
1782949200000,8399655.43000000,62067048.05046909
1782949500000,8399584.80000000,62081331.25680000
1782949800000,8493233.64000000,62467733.42220000
1782950100000,8484987.70000000,62457994.45970000
1782950400000,8487920.42000000,62428654.68910000
1782950700000,8477867.07000000,62207916.84463156
1782951000000,8480813.49000000,62341035.10351554
1782951300000,8479348.76000000,62349776.30268651
