timestamp,buy_sell_ratio,buy_vol,sell_vol
1782933000000,0.5780,5100.3600,8823.6300
1782933300000,1.5752,14658.9900,9306.3400
1782933600000,0.5856,13092.9900,22356.8900
1782933900000,0.2321,9157.9000,39456.3700
1782934200000,2.9130,58786.3900,20180.7300
1782934500000,1.3573,12411.6700,9144.4200
1782934800000,0.6474,13931.5200,21518.9000
1782935100000,0.4272,4948.5200,11583.4100
1782935400000,1.4412,19168.1500,13299.8700
1782935700000,0.6508,47567.5100,73091.8600
1782936000000,0.9244,20975.2200,22689.8400
1782936300000,0.9355,12308.1500,13156.2400
1782936600000,1.0655,15601.6100,14642.9800
1782936900000,0.8336,14732.3400,17673.8900
1782937200000,2.2853,18900.8500,8270.5800
1782937500000,0.9185,5901.6800,6425.1500
1782937800000,2.6105,7687.4000,2944.8500
1782938100000,0.9955,3960.5800,3978.6000
1782938400000,1.1936,15458.1900,12950.5100
1782938700000,2.0920,12411.4700,5932.9200
1782939000000,0.6310,6616.0500,10484.5200
1782939300000,1.8332,8300.2000,4527.6200
1782939600000,2.0686,9535.6900,4609.8400
1782939900000,1.7510,25094.0600,14331.3800
1782940200000,1.3009,20056.9800,15417.7000
1782940500000,1.6509,28783.8200,17435.6100
1782940800000,0.8988,13742.5000,15289.0100
1782941100000,2.4160,22837.8800,9452.9200
1782941400000,2.5938,64711.6100,24948.2300
1782941700000,1.1408,29540.5900,25895.7500
1782942000000,1.5166,33678.4000,22206.4100
1782942300000,4.8035,20995.4500,4370.8900
1782942600000,1.7260,28352.6400,16426.5400
1782942900000,1.2428,14698.4600,11826.5300
1782943200000,6.0438,193172.1600,31962.0600
1782943500000,1.2931,25864.9800,20002.4600
1782943800000,2.1005,23639.1100,11254.1900
1782944100000,0.8113,14349.2300,17686.5100
1782944400000,1.0421,169287.6900,162441.1600
1782944700000,1.1589,96016.8400,82851.2100
1782945000000,0.5896,35666.0300,60491.6900
1782945300000,0.3980,12968.2500,32587.1500
1782945600000,1.5916,18310.8500,11504.3200
