timestamp,long_short_ratio,long_account,short_account
1782933000000,1.7525,0.6367,0.3633
1782933300000,1.7480,0.6361,0.3639
1782933600000,1.7503,0.6364,0.3636
1782933900000,1.7488,0.6362,0.3638
1782934200000,1.7510,0.6365,0.3635
1782934500000,1.7465,0.6359,0.3641
1782934800000,1.7427,0.6354,0.3646
1782935100000,1.7397,0.6350,0.3650
1782935400000,1.7420,0.6353,0.3647
1782935700000,1.7420,0.6353,0.3647
1782936000000,1.7390,0.6349,0.3651
1782936300000,1.7382,0.6348,0.3652
1782936600000,1.7420,0.6353,0.3647
1782936900000,1.7420,0.6353,0.3647
1782937200000,1.7450,0.6357,0.3643
1782937500000,1.7450,0.6357,0.3643
1782937800000,1.7450,0.6357,0.3643
1782938100000,1.7495,0.6363,0.3637
1782938400000,1.7488,0.6362,0.3638
1782938700000,1.7548,0.6370,0.3630
1782939000000,1.7632,0.6381,0.3619
1782939300000,1.7594,0.6376,0.3624
1782939600000,1.7640,0.6382,0.3618
1782939900000,1.7655,0.6384,0.3616
1782940200000,1.7632,0.6381,0.3619
1782940500000,1.7624,0.6380,0.3620
1782940800000,1.7609,0.6378,0.3622
1782941100000,1.7601,0.6377,0.3623
1782941400000,1.7541,0.6369,0.3631
1782941700000,1.8050,0.6435,0.3565
1782942000000,1.8003,0.6429,0.3571
1782942300000,1.8019,0.6431,0.3569
1782942600000,1.8003,0.6429,0.3571
1782942900000,1.8066,0.6437,0.3563
1782943200000,1.8011,0.6430,0.3570
1782943500000,1.8003,0.6429,0.3571
1782943800000,1.7988,0.6427,0.3573
1782944100000,1.7933,0.6420,0.3580
1782944400000,1.7902,0.6416,0.3584
1782944700000,1.8121,0.6444,0.3556
1782945000000,1.8035,0.6433,0.3567
1782945300000,1.7910,0.6417,0.3583
1782945600000,1.7886,0.6414,0.3586
1782945900000,1.7847,0.6409,0.3591
1782946200000,1.7863,0.6411,0.3589
1782946500000,1.7816,0.6405,0.3595
1782946800000,1.7840,0.6408,0.3592
1782947100000,1.7824,0.6406,0.3594
1782947400000,1.7832,0.6407,0.3593
1782947700000,1.7832,0.6407,0.3593
1782948000000,1.7824,0.6406,0.3594
1782948300000,1.7878,0.6413,0.3587
1782948600000,1.7840,0.6408,0.3592
1782948900000,1.7917,0.6418,0.3582
1782949200000,1.7941,0.6421,0.3579
1782949500000,1.7847,0.6409,0.3591
1782949800000,1.7785,0.6401,0.3599
1782950100000,1.7755,0.6397,0.3603
