timestamp,sum_oi,sum_oi_value
1782933300000,10829682.29000000,839083783.82920000
1782933600000,10815763.67000000,838432248.09159550
1782933900000,10812025.68000000,836960828.64516210
1782934200000,10804630.46000000,834009425.20740000
1782934500000,10786408.00000000,833863900.41607680
1782934800000,10774102.55000000,832614637.42776180
1782935100000,10767821.61000000,832352610.45300000
1782935400000,10773363.49000000,830949525.98370000
1782935700000,10777279.55000000,830022779.36345720
1782936000000,10805546.83000000,831594884.03680000
1782936300000,10793857.07000000,829066583.83350610
1782936600000,10791707.85000000,827616075.01650000
1782936900000,10789658.01000000,828753631.74810000
1782937200000,10781769.62000000,826225364.85445580
1782937500000,10776947.04000000,826160760.08640000
1782937800000,10745285.83000000,825567934.20664920
1782938100000,10727215.81000000,825271268.23694280
1782938400000,10704315.64000000,824125261.12360000
1782938700000,10686172.15000000,824966739.53704260
1782939000000,10680081.47000000,826638305.77800000
1782939300000,10686886.79000000,826523824.33860000
1782939600000,10687068.17000000,826965334.99460000
1782939900000,10666064.37000000,828753201.54900000
1782940200000,10647668.12000000,828974379.19218090
1782940500000,10637431.46000000,828073710.28153340
1782940800000,10621850.38000000,826770008.88676260
1782941100000,10623270.52000000,826052578.51012800
1782941400000,10615191.25000000,825768652.07591020
1782941700000,10621828.92000000,831503064.31945730
1782942000000,10627310.75000000,831693339.29500000
1782942300000,10635129.50000000,831515487.92669880
1782942600000,10630665.70000000,832381124.31000000
1782942900000,10609662.23000000,831317629.80458300
1782943200000,10610111.36000000,831867868.97859980
1782943500000,10624232.58000000,831287855.77433300
1782943800000,10642669.34000000,832685682.40454550
1782944100000,10644529.21000000,833273325.04137600
1782944400000,10662270.19000000,835392458.73313680
1782944700000,10652358.43000000,838180281.81821820
1782945000000,10642126.69000000,832320728.42490000
1782945300000,10640616.70000000,831706612.84312870
1782945600000,10639165.90000000,830280506.83600000
1782945900000,10641046.67000000,830214461.19340000
1782946200000,10695171.35000000,832298234.45700000
1782946500000,10691075.60000000,832574755.66062970
1782946800000,10708852.10000000,833453339.87542600
1782947100000,10697120.65000000,829970919.19546310
1782947400000,10697606.72000000,830990090.00960000
1782947700000,10684246.12000000,828029074.30000000
1782948000000,10626395.36000000,824820807.84320000
1782948300000,10615510.82000000,823657484.52380000
1782948600000,10608596.76000000,823757538.41400000
1782948900000,10612882.74000000,823938691.12405610
1782949200000,10688982.63000000,828182374.17240000
1782949500000,10684296.35000000,827926124.16150000
1782949800000,10702723.48000000,828283770.11720000
1782950100000,10708527.26000000,829464568.60656330
1782950400000,10706483.49000000,828895951.79580000
1782950700000,10684959.04000000,825199386.65920000
1782951000000,10651809.49000000,824045923.59573220
1782951300000,10652106.90000000,823205473.76498430
1782951600000,10654573.86000000,821361098.86740000
