timestamp,buy_sell_ratio,buy_vol,sell_vol
1782933000000,0.5588,17272.9000,30912.6500
1782933300000,0.8587,33952.0300,39538.0600
1782933600000,0.4337,6979.1400,16091.5600
1782933900000,0.6498,55041.6300,84711.7000
1782934200000,2.6479,73790.9900,27868.0300
1782934500000,1.0990,37476.8900,34100.1200
1782934800000,1.0835,18520.5200,17093.9900
1782935100000,0.9215,32765.5700,35558.3300
1782935400000,0.8478,43191.2400,50947.7600
1782935700000,0.6401,90066.3000,140716.2400
1782936000000,1.3613,73494.6100,53988.5200
1782936300000,1.2828,46217.1000,36028.6800
1782936600000,1.5366,49905.4000,32478.0100
1782936900000,0.6371,62472.4100,98050.8400
1782937200000,1.3460,29821.5000,22155.5500
1782937500000,3.1170,108825.2100,34912.9400
1782937800000,2.2707,92178.8500,40594.8700
1782938100000,1.2874,47565.4500,36948.2300
1782938400000,1.4256,152504.2700,106976.3600
1782938700000,0.9684,24858.7000,25668.6600
1782939000000,0.5149,33798.2400,65641.1000
1782939300000,1.4566,36083.4200,24771.9400
1782939600000,1.3088,78615.6300,60066.9900
1782939900000,1.3870,122410.5300,88257.3600
1782940200000,1.1294,78010.5500,69073.8900
1782940500000,0.4375,21888.6500,50034.3100
1782940800000,1.3614,30163.1600,22155.8000
1782941100000,1.0467,26865.2100,25667.1500
1782941400000,2.6764,232659.3100,86931.5000
1782941700000,1.2453,89166.9500,71602.8100
1782942000000,0.9872,32819.4400,33245.0600
1782942300000,0.9217,27618.1700,29965.1500
1782942600000,2.2260,107568.3100,48323.4500
1782942900000,1.0610,45996.5800,43352.2500
1782943200000,0.9848,34735.0200,35269.6700
1782943500000,1.0635,32985.4000,31014.5300
1782943800000,1.2498,11478.7400,9184.7100
1782944100000,1.6864,36961.7200,21917.4500
1782944400000,1.0546,200217.8300,189847.6200
1782944700000,0.7507,64335.0700,85697.3900
1782945000000,0.8555,51389.5900,60069.6900
1782945300000,0.8280,34768.1200,41989.9700
1782945600000,0.9120,25268.1100,27705.4900
1782945900000,0.5711,88486.0700,154946.3600
1782946200000,0.9807,36279.7300,36994.8900
1782946500000,0.6889,40465.0700,58739.1000
1782946800000,1.4321,85614.9400,59783.7400
1782947100000,0.8202,18896.5400,23039.4900
1782947400000,0.5941,27764.3600,46732.7800
1782947700000,0.7381,93131.7700,126175.5300
1782948000000,1.1229,33621.8700,29940.8100
1782948300000,1.4785,20325.0300,13746.9800
1782948600000,0.9855,53550.4600,54338.8400
1782948900000,0.3701,77069.1800,208237.4100
1782949200000,0.5321,37767.9000,70973.5400
1782949500000,0.9437,117546.8200,124560.8100
1782949800000,0.9267,19422.0300,20958.5400
1782950100000,0.9493,12118.8800,12766.4600
1782950400000,1.2738,125322.5000,98384.9800
1782950700000,1.6880,77044.4200,45641.6900
1782951000000,0.8395,13099.3500,15604.0700
1782951300000,0.6900,25531.0400,37000.0200
1782951600000,1.6459,26432.0400,16059.0100
1782951900000,0.8592,15621.1300,18181.7300
1782952200000,0.9489,23976.5500,25267.5500
1782952500000,0.4511,17082.8900,37870.6500
1782952800000,0.9803,25452.9800,25963.9200
1782953100000,3.0504,74359.5000,24377.0700
1782953400000,1.5079,54793.5000,36337.1700
1782953700000,0.9937,16710.6700,16816.6700
1782954000000,2.5581,65960.3500,25785.0300
1782954300000,1.8122,41151.1800,22707.5900
1782954600000,1.5138,63053.5500,41652.3300
1782954900000,1.2500,53921.4000,43137.6100
1782955200000,1.0963,26221.6100,23918.5700
1782955500000,1.3762,27818.7900,20214.4700
1782955800000,0.9927,99620.4800,100357.1100
1782956100000,0.9318,40662.5000,43640.9000
1782956400000,1.2733,92104.4900,72332.8900
1782956700000,0.5781,25712.5000,44476.4100
1782957000000,0.7653,38454.2400,50246.1500
1782957300000,1.0848,24422.3300,22512.8800
1782957600000,0.8862,37610.3600,42440.7400
1782957900000,0.5660,16281.2200,28765.6800
1782958200000,1.2688,37501.0900,29555.4800
1782958500000,1.1038,27475.5200,24890.8600
1782958800000,1.1412,21647.5000,18969.2500
1782959100000,1.5008,28197.3900,18788.7600
1782959400000,0.9260,22741.8600,24558.1100
1782959700000,1.3003,28968.0300,22277.2300
1782960000000,1.3304,38391.9200,28857.8300
1782960300000,0.7184,40238.2700,56013.4400
1782960600000,1.0540,19440.6300,18444.8300
1782960900000,0.9756,18830.9100,19302.5700
1782961200000,1.2576,22517.8200,17905.2300
1782961500000,0.6939,12912.1900,18607.9300
1782961800000,0.7113,15332.9100,21555.7800
1782962100000,0.5303,35739.8200,67393.5100
1782962400000,0.4691,40495.6200,86330.4100
1782962700000,1.8794,151259.4300,80482.3800
1782963000000,0.6609,44311.9800,67050.0200
1782963300000,1.3865,41009.6900,29577.3500
1782963600000,1.3342,42102.8400,31557.6800
1782963900000,0.8084,24248.3700,29995.8700
1782964200000,1.9823,186938.8500,94304.3500
1782964500000,0.9492,37147.9400,39134.9100
1782964800000,0.8881,48794.0000,54943.6900
1782965100000,0.4162,26332.6600,63272.4500
1782965400000,0.7887,23350.4500,29605.2700
1782965700000,1.4203,40751.7400,28693.0700
1782966000000,0.7025,26209.1800,37310.1700
1782966300000,0.4985,18053.7400,36218.5500
1782966600000,0.7183,17971.0400,25017.2100
1782966900000,0.5982,16484.8500,27557.5200
1782967200000,1.7979,42528.9800,23655.0000
1782967500000,2.2972,42669.3900,18574.5900
1782967800000,1.7171,47412.3500,27611.7400
1782968100000,0.9620,9612.9700,9992.2400
1782968400000,0.6972,23008.7200,33001.2800
1782968700000,1.8107,18619.5700,10283.0300
1782969000000,1.1779,22557.1300,19150.0000
1782969300000,0.6258,8059.5600,12878.2500
1782969600000,0.7034,11003.4800,15643.2600
1782969900000,0.6348,17808.8000,28056.0000
1782970200000,0.6723,19463.0200,28947.8200
1782970500000,0.6597,29065.2600,44060.9100
1782970800000,0.6566,39668.4100,60415.9900
1782971100000,0.8813,26685.7200,30278.8000
1782971400000,1.2015,28905.0700,24058.2200
1782971700000,0.9797,9846.2000,10050.1700
1782972000000,0.3970,20160.3500,50780.2900
1782972300000,0.6012,47456.2000,78935.7700
1782972600000,1.0201,39383.2700,38608.6700
1782972900000,1.3733,43201.9600,31457.8000
1782973200000,1.1810,42406.7000,35907.2200
1782973500000,0.6208,17678.3400,28477.0300
1782973800000,1.1968,57450.1800,48004.3200
1782974100000,0.4638,12607.5200,27183.7400
1782974400000,0.8355,24180.7000,28941.1600
1782974700000,0.2894,35774.6500,123620.6000
1782975000000,0.6739,42458.0500,62999.5900
1782975300000,2.3257,40800.2200,17542.8400
1782975600000,0.7927,41178.1700,51948.7300
1782975900000,1.1037,44481.4400,40302.3600
1782976200000,0.7296,18381.8400,25195.7800
1782976500000,0.4656,48826.0100,104867.8600
1782976800000,0.9668,16126.9900,16680.3200
1782977100000,0.5529,10149.6900,18357.0400
1782977400000,1.6878,34887.0600,20670.5700
1782977700000,0.6988,21498.8400,30767.3900
1782978000000,1.6938,71478.6600,42199.3900
1782978300000,0.8790,39301.9900,44709.6400
1782978600000,0.7474,18709.3800,25031.0800
1782978900000,1.1998,21319.7600,17769.9800
1782979200000,1.0411,20905.7800,20081.0300
1782979500000,1.8404,80238.1100,43598.9700
1782979800000,0.5427,28476.3600,52475.9000
