timestamp,long_short_ratio,long_account,short_account
1782933300000,4.8005,0.8276,0.1724
1782933600000,4.8275,0.8284,0.1716
1782933900000,4.8377,0.8287,0.1713
1782934200000,4.8207,0.8282,0.1718
1782934500000,4.8377,0.8287,0.1713
1782934800000,4.8038,0.8277,0.1723
1782935100000,4.8140,0.8280,0.1720
1782935400000,4.8651,0.8295,0.1705
1782935700000,4.9312,0.8314,0.1686
1782936000000,4.8789,0.8299,0.1701
1782936300000,4.9701,0.8325,0.1675
1782936600000,4.9880,0.8330,0.1670
1782936900000,4.9737,0.8326,0.1674
1782937200000,4.9916,0.8331,0.1669
1782937500000,4.9952,0.8332,0.1668
1782937800000,5.0132,0.8337,0.1663
1782938100000,5.0496,0.8347,0.1653
1782938400000,5.0680,0.8352,0.1648
1782938700000,5.0569,0.8349,0.1651
1782939000000,5.0938,0.8359,0.1641
1782939300000,5.0753,0.8354,0.1646
1782939600000,5.0569,0.8349,0.1651
1782939900000,5.0569,0.8349,0.1651
1782940200000,5.1387,0.8371,0.1629
1782940500000,5.1200,0.8366,0.1634
1782940800000,5.1463,0.8373,0.1627
1782941100000,5.1425,0.8372,0.1628
1782941400000,5.1425,0.8372,0.1628
1782941700000,5.1425,0.8372,0.1628
1782942000000,5.1275,0.8368,0.1632
1782942300000,5.1576,0.8376,0.1624
1782942600000,5.1805,0.8382,0.1618
1782942900000,5.2150,0.8391,0.1609
1782943200000,5.2150,0.8391,0.1609
1782943500000,5.2112,0.8390,0.1610
1782943800000,5.2422,0.8398,0.1602
1782944100000,5.2461,0.8399,0.1601
1782944400000,5.2383,0.8397,0.1603
1782944700000,5.2578,0.8402,0.1598
1782945000000,5.2617,0.8403,0.1597
1782945300000,5.2814,0.8408,0.1592
1782945600000,5.2814,0.8408,0.1592
1782945900000,5.2893,0.8410,0.1590
1782946200000,5.2854,0.8409,0.1591
1782946500000,5.3052,0.8414,0.1586
1782946800000,5.3371,0.8422,0.1578
1782947100000,5.3573,0.8427,0.1573
1782947400000,5.3857,0.8434,0.1566
