timestamp,sum_oi,sum_oi_value
1782933300000,3000496.09800000,179489676.58236000
1782933600000,3007100.68700000,179704337.05512000
1782933900000,3016942.66600000,180125202.25814813
1782934200000,3018476.03500000,180316837.41812316
1782934500000,3019136.06800000,180142543.20388353
1782934800000,3029161.84900000,180637400.49775904
1782935100000,3030183.44200000,180417122.13668000
1782935400000,3032401.18900000,180549166.79306000
1782935700000,3031308.71800000,179864351.99635112
1782936000000,3033814.15700000,179936319.61010426
1782936300000,3016799.28400000,178323005.67724000
1782936600000,3012679.61000000,178326071.07742200
1782936900000,3014468.75700000,178577129.16468000
1782937200000,3015294.19000000,178573804.91032335
1782937500000,3016582.30100000,178635518.15294120
1782937800000,3018920.03300000,178830456.29674310
1782938100000,3019274.82900000,178642732.60889620
1782938400000,3019080.73700000,178528157.97575253
1782938700000,3019006.69100000,178563722.20969670
1782939000000,3018264.06600000,178530319.50390000
1782939300000,3025597.34200000,179029839.96220404
1782939600000,3030824.06300000,179347645.17756990
1782939900000,3028463.09600000,179406153.80704000
1782940200000,3025436.06300000,179075560.56897000
1782940500000,3021810.51000000,179060405.51451874
1782940800000,3019995.38100000,178783726.55520000
1782941100000,3020798.90900000,178890622.72526118
1782941400000,3020449.37600000,178931421.03424000
1782941700000,3019325.15300000,178985595.06984000
1782942000000,3016155.70400000,178997615.53426242
1782942300000,3015028.44700000,178991007.37471980
1782942600000,3014687.95400000,179102611.34714000
1782942900000,3012027.02000000,178574459.15472686
1782943200000,3013931.66900000,178774286.84998906
1782943500000,3002883.52700000,178281194.99799000
1782943800000,3003121.08100000,178140843.91746710
1782944100000,3004081.30200000,178262184.46068000
1782944400000,3004652.01800000,178296050.74812000
1782944700000,3002756.80300000,178263287.68091983
1782945000000,3000490.35400000,178090320.80324534
1782945300000,3002344.61800000,178189153.07830000
1782945600000,2997257.84500000,177975329.05112684
1782945900000,2998812.79400000,178069503.70772000
1782946200000,2999536.05400000,178232432.32868000
1782946500000,2999740.27900000,178093531.89500767
1782946800000,2996903.97300000,178074809.90032512
1782947100000,2995484.53700000,177841916.96169000
1782947400000,2995868.20900000,177714902.15788000
1782947700000,2991599.69400000,177244237.42800683
1782948000000,2992448.46700000,177362420.63909000
1782948300000,2992795.42400000,177233345.00928000
1782948600000,2992327.58600000,177440656.39321238
1782948900000,2993148.65700000,177471524.18588850
1782949200000,3000083.19900000,177874932.86871000
1782949500000,3005325.52200000,178125643.68894000
1782949800000,3006549.18200000,178037354.30141506
1782950100000,3031272.51000000,179451332.59200000
1782950400000,3033153.83300000,179329759.09165406
1782950700000,3033368.58300000,179029413.76866000
1782951000000,3041552.63300000,180150987.41123596
1782951300000,3035831.57600000,180418859.20591724
1782951600000,3037789.34100000,180224082.01627660
1782951900000,3037510.02700000,180428095.60380000
1782952200000,3036018.98000000,180278807.03240000
1782952500000,3040779.59200000,180491897.42472875
1782952800000,3036436.78900000,179848151.01247000
1782953100000,3033150.20700000,179403299.54965377
1782953400000,3036321.63400000,180539684.35764000
1782953700000,3036113.76100000,180527324.22906000
1782954000000,3012435.48000000,179330284.12440000
1782954300000,3026116.57200000,181414378.42501366
1782954600000,2994093.36300000,179166546.84192000
1782954900000,2972262.65900000,178555905.82113788
1782955200000,2963892.33600000,177892818.00672000
1782955500000,2966040.19600000,177191241.30904000
1782955800000,2982131.02500000,178082284.83837083
1782956100000,2977966.43900000,177635698.08635000
1782956400000,2965216.10100000,177358449.41816570
1782956700000,2967947.53100000,177127108.65008000
1782957000000,3003715.00600000,179652194.50886000
1782957300000,3009429.04800000,180338161.72993180
1782957600000,3003650.76200000,179678388.58284000
1782957900000,3001830.67600000,179567068.68884540
1782958200000,3002434.53700000,179545585.31260000
1782958500000,3011044.18000000,180150773.28940000
1782958800000,3052536.49300000,183030088.12028000
1782959100000,3052611.26200000,182729310.14332000
1782959400000,3050039.98800000,182673226.42883068
1782959700000,3043531.46200000,182277099.25918000
1782960000000,2978023.31400000,178681075.90315184
1782960300000,2973369.67200000,178758984.68064000
1782960600000,2973302.72400000,178754959.76688000
1782960900000,2971164.77100000,178477867.79397000
1782961200000,2968537.13400000,178368764.77411216
1782961500000,2972990.70100000,178468631.78103000
1782961800000,2973659.94400000,178497382.61812294
1782962100000,2975241.75800000,178722772.40306000
1782962400000,2975681.51500000,178701338.54628664
1782962700000,2971899.52800000,178515873.49935776
1782963000000,2983537.32100000,179459769.85815000
1782963300000,2983508.20700000,179637259.88799474
1782963600000,2983644.31200000,179645224.02552000
1782963900000,2989170.30500000,180101158.88958192
1782964200000,2985221.78900000,180008873.87670000
1782964500000,2985435.22700000,180339922.35105530
1782964800000,3004151.42500000,181265764.63488474
1782965100000,3068132.55100000,185284524.75489000
1782965400000,3070899.39700000,185389254.22999203
1782965700000,3059721.60800000,184683137.00244918
1782966000000,3060383.58800000,184501699.60915630
1782966300000,3058225.44000000,184194304.78348574
1782966600000,3056975.57700000,184011590.35808823
1782966900000,3060805.48300000,184168665.91211000
1782967200000,3063174.04300000,184139911.00893897
1782967500000,3057112.19500000,183773762.54221640
1782967800000,3059897.53500000,183808044.92745000
1782968100000,3059954.20700000,184051742.27764264
1782968400000,3063686.81500000,184219488.18595000
1782968700000,3066204.93400000,183802938.38050923
1782969000000,3057100.83500000,183334337.07495000
1782969300000,3112123.22000000,186170838.72907385
1782969600000,3108016.93900000,186218135.97823600
1782969900000,3102392.23400000,186019438.35064000
1782970200000,3095571.00200000,185022278.78954000
1782970500000,3102340.25000000,184620268.27750000
1782970800000,3088444.59400000,184256604.47804000
1782971100000,3055464.53100000,182523869.90903690
1782971400000,3109369.11200000,185688064.72409564
1782971700000,3107571.97400000,185926031.20442000
1782972000000,3113117.94600000,186382371.42702000
1782972300000,3072132.81400000,184517923.38936752
1782972600000,3071895.28800000,184465641.14839600
1782972900000,3080590.16000000,184815032.78993946
1782973200000,3084333.25800000,185337585.47322000
1782973500000,3087668.64600000,185876495.75589514
1782973800000,3083543.82100000,185228310.23023033
1782974100000,3081361.42600000,185219049.98721993
1782974400000,3084261.10200000,185148193.95306000
1782974700000,3092634.66200000,185241234.87641054
1782975000000,3084814.84100000,185181434.90523000
1782975300000,3087548.68700000,185216925.06450810
1782975600000,3092118.84600000,185527130.76000000
1782975900000,3095065.25900000,185425359.66669000
1782976200000,3092211.48300000,185388374.17135957
1782976500000,3090732.63100000,184747427.20173055
1782976800000,3092869.23200000,184705852.84637642
1782977100000,3092016.81700000,184467992.63856718
1782977400000,3090852.16000000,184395010.94736683
1782977700000,3080738.81800000,183713553.90925425
1782978000000,3095571.59400000,184995553.42128560
1782978300000,3123538.04900000,186614057.20044494
1782978600000,3121175.56000000,186022063.37600000
1782978900000,3130813.66100000,186471261.64916000
1782979200000,3114260.54100000,185110991.31662217
1782979500000,3062575.53800000,182192618.75562000
1782979800000,3057763.94300000,182435132.60410592
1782980100000,3066342.36600000,183015951.08181667
1782980400000,3110414.50800000,186127204.15872000
1782980700000,3103838.42800000,186138121.92699550
1782981000000,3150881.46400000,189141585.72037026
1782981300000,3142407.79500000,188743762.78470380
1782981600000,3146302.77800000,189112505.20962322
