timestamp,buy_sell_ratio,buy_vol,sell_vol
1782933000000,0.6962,10378.2270,14906.5750
1782933300000,0.4369,8302.0930,19002.1840
1782933600000,0.3579,9074.2770,25352.6360
1782933900000,0.9999,4058.7700,4059.2650
1782934200000,0.5218,7431.3410,14242.4490
1782934500000,0.4460,7915.7260,17746.7130
1782934800000,0.3814,10899.8230,28581.2430
1782935100000,0.5025,25500.4340,50748.6530
1782935400000,0.4583,25664.3100,55998.7740
1782935700000,0.7665,31193.1720,40697.0770
1782936000000,1.1079,47139.6910,42546.9690
1782936300000,1.3782,21799.1750,15816.9150
1782936600000,1.3854,12241.1800,8835.6940
1782936900000,1.0591,7812.2740,7376.2260
1782937200000,0.8927,4521.4000,5064.8310
1782937500000,0.3855,2717.0230,7047.3390
1782937800000,0.6448,5062.8930,7851.4810
1782938100000,1.2699,5126.7340,4037.0100
1782938400000,1.2518,8949.3420,7149.1260
1782938700000,0.4230,7464.2370,17647.3740
1782939000000,0.8420,13052.7220,15502.3380
1782939300000,1.1043,62701.0030,56779.4820
1782939600000,1.5394,15716.9220,10209.8790
1782939900000,0.4506,3217.5510,7139.9160
1782940200000,2.1114,17785.3450,8423.4420
1782940500000,0.5272,2357.3150,4470.9760
1782940800000,2.1467,2872.6920,1338.2020
1782941100000,1.6630,1312.0380,788.9380
1782941400000,8.5340,6350.3190,744.1180
1782941700000,5.8018,34002.6270,5860.7020
1782942000000,0.9286,3401.9500,3663.6160
1782942300000,0.9537,2481.8970,2602.2750
1782942600000,0.0882,478.8800,5426.8000
1782942900000,2.4296,7589.4940,3123.7430
1782943200000,0.5991,17793.1750,29700.8850
1782943500000,1.0528,15800.0450,15007.6480
1782943800000,0.7806,9431.2750,12082.4730
1782944100000,1.3037,13556.1260,10398.1150
1782944400000,1.3408,14451.5220,10778.0600
1782944700000,1.2938,9755.4810,7540.2040
1782945000000,0.3631,2626.5280,7232.9150
1782945300000,0.6136,12866.8200,20970.1910
1782945600000,0.8311,6748.1980,8119.1560
1782945900000,1.9558,14600.0550,7464.8200
1782946200000,0.7313,9922.7640,13567.9380
1782946500000,2.4850,14218.8880,5721.8350
1782946800000,0.9461,7729.0260,8169.3070
1782947100000,0.6657,7259.0560,10903.7270
1782947400000,0.7319,7240.8620,9892.8380
1782947700000,1.3904,4351.5910,3129.6770
1782948000000,0.5807,3830.0040,6595.4550
1782948300000,0.6842,6585.8610,9625.3060
1782948600000,0.6899,4326.0400,6270.5490
1782948900000,0.8975,11136.1060,12408.5630
1782949200000,1.4786,8640.7330,5843.9710
1782949500000,0.9485,14090.6520,14855.0790
1782949800000,1.7236,36953.4380,21439.8940
1782950100000,0.4062,7832.6870,19281.7430
1782950400000,0.8064,54821.6270,67984.6400
1782950700000,1.4675,60007.0120,40891.8570
1782951000000,1.1700,35142.1970,30035.6460
1782951300000,0.8351,16793.4700,20110.1700
1782951600000,1.9901,8881.6850,4462.9550
1782951900000,1.4093,5506.2780,3907.0070
1782952200000,2.0110,34131.8910,16972.7360
1782952500000,0.9985,26652.2750,26693.0840
1782952800000,0.5182,7324.5700,14135.3090
1782953100000,1.4048,26118.9890,18592.9170
1782953400000,1.5730,42778.7250,27195.9100
1782953700000,0.7373,63328.4310,85886.5780
1782954000000,1.0002,208822.9170,208773.8910
1782954300000,1.2974,102745.7040,79190.5720
1782954600000,0.4593,52497.5050,114298.7800
1782954900000,0.5358,34681.4590,64725.1230
1782955200000,0.7560,27256.8830,36054.7950
1782955500000,2.5687,122868.8120,47833.7450
1782955800000,0.7656,33255.8260,43437.0620
1782956100000,1.5066,33721.7540,22383.3260
1782956400000,1.1218,32536.3680,29002.5350
1782956700000,2.8402,65773.9270,23158.0990
1782957000000,0.8918,20922.3260,23459.5230
1782957300000,1.0322,20691.6750,20046.3230
1782957600000,0.8839,15982.9870,18082.3640
1782957900000,0.7260,10580.9940,14573.7810
1782958200000,1.4747,24147.4010,16373.9380
1782958500000,1.7203,60132.0070,34953.9910
1782958800000,0.4904,7503.8020,15299.9320
1782959100000,1.0456,5298.2630,5067.3690
1782959400000,1.0133,29239.2230,28854.1030
1782959700000,0.3408,55023.4010,161475.5380
1782960000000,0.6341,61548.7960,97061.7580
1782960300000,1.0954,17859.3150,16304.3250
1782960600000,1.1396,13963.6500,12253.6160
1782960900000,1.1602,9454.8440,8148.9740
1782961200000,0.6807,11015.6890,16182.6690
1782961500000,1.1676,9545.4210,8175.1280
1782961800000,0.6881,8138.9130,11828.7040
1782962100000,0.7918,7296.9600,9215.1470
1782962400000,0.8310,15184.3510,18272.1920
1782962700000,1.6343,34173.0040,20910.3250
1782963000000,1.2167,28018.3570,23027.5110
1782963300000,0.9822,18378.1740,18712.0060
1782963600000,2.3337,30257.3750,12965.2190
1782963900000,0.9421,13380.1050,14201.8220
1782964200000,3.4139,34570.5770,10126.4290
1782964500000,0.3325,34058.6250,102426.3160
1782964800000,0.5911,48738.0250,82459.3040
1782965100000,1.1097,11220.0180,10110.4120
1782965400000,0.5257,11518.6660,21913.0500
1782965700000,0.3557,9280.4300,26090.0350
1782966000000,0.4708,7462.8740,15849.8110
1782966300000,0.6724,5505.7770,8188.6710
1782966600000,0.6339,17576.7970,27729.9040
1782966900000,0.9246,10213.0130,11046.3270
1782967200000,0.6121,13740.3850,22449.3870
1782967500000,1.0541,6383.3060,6055.8520
1782967800000,1.6978,12984.8790,7647.9920
1782968100000,1.3729,22862.5960,16652.8400
1782968400000,1.8505,121167.2970,65478.3450
1782968700000,2.9429,181217.7790,61578.5680
1782969000000,1.2122,90509.0780,74667.5040
1782969300000,1.1695,30234.1260,25851.3610
1782969600000,0.7272,11667.9730,16045.0880
1782969900000,0.3483,12949.3640,37181.4830
1782970200000,0.6375,78600.1110,123291.9470
1782970500000,1.3410,71132.1010,53045.3230
1782970800000,0.5428,56360.6420,103838.9910
1782971100000,0.5265,72886.5280,138423.1750
1782971400000,1.0421,41526.6080,39848.6570
1782971700000,1.2760,37095.4740,29070.7820
1782972000000,1.5469,122771.3540,79368.4590
1782972300000,0.5363,26464.2720,49349.3350
1782972600000,0.7687,18356.9150,23880.0730
1782972900000,1.0171,20835.0760,20484.6430
1782973200000,1.1512,24236.0340,21052.4330
1782973500000,0.8394,15254.0730,18172.6000
1782973800000,0.8046,10071.2770,12516.4130
1782974100000,1.0403,13346.7180,12829.8540
1782974400000,0.7111,23304.5710,32774.3440
1782974700000,1.2418,18911.0690,15228.2290
1782975000000,1.4737,20154.8590,13676.7690
1782975300000,1.5304,18836.0280,12308.2060
1782975600000,1.3549,17422.1120,12858.6010
1782975900000,0.7002,8250.0200,11782.4950
1782976200000,1.0441,25605.9590,24525.5830
1782976500000,1.0910,15386.7620,14102.9490
1782976800000,0.9897,17564.6020,17747.0590
1782977100000,1.1409,19159.2430,16792.3770
1782977400000,2.2242,100717.0320,45282.0910
1782977700000,1.0049,53711.9480,53447.8090
1782978000000,1.6923,63271.2730,37388.2830
1782978300000,0.7162,20986.7830,29302.2030
1782978600000,0.6857,23673.6500,34524.9280
1782978900000,0.4108,42278.6050,102905.5360
1782979200000,1.2219,167849.8970,137367.8930
1782979500000,2.8384,39008.9920,13743.1860
1782979800000,1.6091,40333.3110,25065.1770
1782980100000,0.5307,52905.3460,99687.0820
1782980400000,2.4429,61409.8900,25138.0730
1782980700000,0.3489,46848.3240,134292.7370
1782981000000,1.5901,35536.2610,22347.7870
1782981300000,1.2946,35133.8340,27138.0980
1782981600000,1.1853,43318.0450,36546.9150
1782981900000,0.5319,73096.1410,137433.0230
1782982200000,2.0650,46467.7590,22502.3770
1782982500000,0.7520,46137.7060,61351.8370
1782982800000,2.0664,49163.0130,23792.1880
1782983100000,0.7545,20356.7110,26979.2850
1782983400000,2.6997,29039.9300,10756.5730
1782983700000,0.4654,50072.6940,107598.5890
1782984000000,1.4650,14245.7410,9724.0130
1782984300000,1.0609,11878.0500,11195.7740
1782984600000,1.7047,46144.8600,27069.9540
1782984900000,1.2021,19356.6730,16102.6420
1782985200000,2.1764,33885.8540,15569.6160
1782985500000,1.3577,11639.0430,8572.7840
1782985800000,0.2609,11305.5680,43331.2510
1782986100000,1.1142,10887.3740,9771.1700
1782986400000,1.0984,12206.3780,11113.0870
1782986700000,1.1621,11599.0280,9980.8450
