timestamp,long_short_ratio,long_account,short_account
1782933300000,2.4270,0.7082,0.2918
1782933600000,2.4412,0.7094,0.2906
1782933900000,2.4376,0.7091,0.2909
1782934200000,2.4002,0.7059,0.2941
1782934500000,2.3887,0.7049,0.2951
1782934800000,2.3921,0.7052,0.2948
1782935100000,2.3898,0.7050,0.2950
1782935400000,2.3979,0.7057,0.2943
1782935700000,2.4542,0.7105,0.2895
1782936000000,2.4977,0.7141,0.2859
1782936300000,2.5436,0.7178,0.2822
1782936600000,2.5676,0.7197,0.2803
1782936900000,2.5651,0.7195,0.2805
1782937200000,2.5817,0.7208,0.2792
1782937500000,2.6075,0.7228,0.2772
1782937800000,2.6219,0.7239,0.2761
1782938100000,2.6832,0.7285,0.2715
1782938400000,2.7092,0.7304,0.2696
1782938700000,2.7286,0.7318,0.2682
1782939000000,2.6914,0.7291,0.2709
1782939300000,2.6996,0.7297,0.2703
1782939600000,2.7147,0.7308,0.2692
1782939900000,2.7230,0.7314,0.2686
1782940200000,2.7300,0.7319,0.2681
1782940500000,2.7608,0.7341,0.2659
1782940800000,2.7707,0.7348,0.2652
1782941100000,2.7736,0.7350,0.2650
1782941400000,2.7821,0.7356,0.2644
1782941700000,2.7936,0.7364,0.2636
1782942000000,2.8110,0.7376,0.2624
1782942300000,2.8270,0.7387,0.2613
1782942600000,2.8344,0.7392,0.2608
1782942900000,2.8432,0.7398,0.2602
1782943200000,2.8417,0.7397,0.2603
1782943500000,2.8580,0.7408,0.2592
1782943800000,2.8926,0.7431,0.2569
1782944100000,2.9063,0.7440,0.2560
1782944400000,2.9002,0.7436,0.2564
1782944700000,2.9032,0.7438,0.2562
1782945000000,2.9216,0.7450,0.2550
1782945300000,2.9231,0.7451,0.2549
1782945600000,2.9339,0.7458,0.2542
1782945900000,2.9277,0.7454,0.2546
1782946200000,2.9541,0.7471,0.2529
1782946500000,2.9635,0.7477,0.2523
1782946800000,2.9888,0.7493,0.2507
1782947100000,3.0000,0.7500,0.2500
1782947400000,2.9984,0.7499,0.2501
1782947700000,3.0032,0.7502,0.2498
1782948000000,2.9984,0.7499,0.2501
1782948300000,3.0032,0.7502,0.2498
1782948600000,3.0177,0.7511,0.2489
1782948900000,3.0193,0.7512,0.2488
1782949200000,3.0388,0.7524,0.2476
1782949500000,3.0209,0.7513,0.2487
1782949800000,3.0323,0.7520,0.2480
1782950100000,3.0225,0.7514,0.2486
1782950400000,3.0371,0.7523,0.2477
1782950700000,3.0290,0.7518,0.2482
1782951000000,3.0241,0.7515,0.2485
1782951300000,3.0667,0.7541,0.2459
1782951600000,3.1034,0.7563,0.2437
1782951900000,3.0783,0.7548,0.2452
1782952200000,3.1034,0.7563,0.2437
1782952500000,3.1186,0.7572,0.2428
1782952800000,3.1186,0.7572,0.2428
1782953100000,3.1684,0.7601,0.2399
1782953400000,3.1736,0.7604,0.2396
1782953700000,3.1911,0.7614,0.2386
1782954000000,3.1946,0.7616,0.2384
1782954300000,3.2608,0.7653,0.2347
1782954600000,3.2772,0.7662,0.2338
1782954900000,3.2463,0.7645,0.2355
1782955200000,3.2463,0.7645,0.2355
1782955500000,3.2571,0.7651,0.2349
1782955800000,3.2445,0.7644,0.2356
1782956100000,3.2373,0.7640,0.2360
1782956400000,3.2301,0.7636,0.2364
1782956700000,3.2571,0.7651,0.2349
1782957000000,3.2355,0.7639,0.2361
1782957300000,3.2391,0.7641,0.2359
1782957600000,3.2790,0.7663,0.2337
1782957900000,3.2863,0.7667,0.2333
1782958200000,3.2717,0.7659,0.2341
1782958500000,3.2337,0.7638,0.2362
1782958800000,3.2391,0.7641,0.2359
1782959100000,3.2463,0.7645,0.2355
1782959400000,3.2571,0.7651,0.2349
1782959700000,3.2445,0.7644,0.2356
1782960000000,3.2717,0.7659,0.2341
1782960300000,3.2753,0.7661,0.2339
1782960600000,3.2918,0.7670,0.2330
1782960900000,3.2992,0.7674,0.2326
1782961200000,3.3328,0.7692,0.2308
1782961500000,3.3328,0.7692,0.2308
1782961800000,3.3309,0.7691,0.2309
1782962100000,3.3048,0.7677,0.2323
1782962400000,3.3029,0.7676,0.2324
1782962700000,3.2918,0.7670,0.2330
1782963000000,3.3048,0.7677,0.2323
1782963300000,3.3085,0.7679,0.2321
1782963600000,3.2937,0.7671,0.2329
1782963900000,3.2955,0.7672,0.2328
1782964200000,3.3122,0.7681,0.2319
1782964500000,3.3725,0.7713,0.2287
1782964800000,3.3764,0.7715,0.2285
1782965100000,3.3706,0.7712,0.2288
1782965400000,3.3802,0.7717,0.2283
1782965700000,3.3687,0.7711,0.2289
1782966000000,3.3687,0.7711,0.2289
1782966300000,3.3384,0.7695,0.2305
1782966600000,3.3066,0.7678,0.2322
1782966900000,3.2827,0.7665,0.2335
1782967200000,3.2626,0.7654,0.2346
1782967500000,3.2571,0.7651,0.2349
1782967800000,3.2589,0.7652,0.2348
1782968100000,3.2463,0.7645,0.2355
1782968400000,3.2499,0.7647,0.2353
1782968700000,3.2517,0.7648,0.2352
1782969000000,3.2445,0.7644,0.2356
1782969300000,3.2265,0.7634,0.2366
1782969600000,3.2159,0.7628,0.2372
1782969900000,3.2230,0.7632,0.2368
1782970200000,3.2626,0.7654,0.2346
1782970500000,3.2517,0.7648,0.2352
1782970800000,3.2445,0.7644,0.2356
1782971100000,3.2427,0.7643,0.2357
1782971400000,3.2680,0.7657,0.2343
1782971700000,3.2644,0.7655,0.2345
1782972000000,3.2517,0.7648,0.2352
1782972300000,3.2974,0.7673,0.2327
1782972600000,3.2918,0.7670,0.2330
1782972900000,3.2717,0.7659,0.2341
1782973200000,3.2301,0.7636,0.2364
1782973500000,3.2699,0.7658,0.2342
1782973800000,3.2427,0.7643,0.2357
1782974100000,3.2355,0.7639,0.2361
1782974400000,3.2427,0.7643,0.2357
1782974700000,3.2863,0.7667,0.2333
1782975000000,3.2409,0.7642,0.2358
1782975300000,3.1859,0.7611,0.2389
1782975600000,3.1667,0.7600,0.2400
1782975900000,3.1982,0.7618,0.2382
1782976200000,3.1806,0.7608,0.2392
1782976500000,3.1982,0.7618,0.2382
1782976800000,3.1806,0.7608,0.2392
1782977100000,3.1806,0.7608,0.2392
1782977400000,3.1824,0.7609,0.2391
1782977700000,3.1615,0.7597,0.2403
1782978000000,3.1684,0.7601,0.2399
1782978300000,3.1859,0.7611,0.2389
