timestamp,sum_oi,sum_oi_value
1782933300000,63097.39800000,256654976.10480000
1782933600000,63119.81300000,256486728.92737000
1782933900000,63115.79500000,256200126.84333990
1782934200000,63133.62500000,256392595.82375000
1782934500000,63028.95200000,255825692.11472000
1782934800000,63028.86800000,255791315.58176000
1782935100000,62943.80700000,255307238.44228432
1782935400000,62937.27800000,255181596.01913920
1782935700000,62406.21200000,252375873.90937500
1782936000000,62442.89400000,252371698.10616000
1782936300000,62206.37200000,250797967.67566463
1782936600000,62113.77700000,250753317.74900000
1782936900000,62017.57400000,250447429.61142000
1782937200000,62014.46300000,250459052.00736000
1782937500000,61667.60200000,249171645.93712000
1782937800000,61619.75500000,249021534.14610296
1782938100000,61613.82400000,248877112.80268410
1782938400000,61604.75400000,248744860.20376983
1782938700000,61532.56600000,248375471.90193814
1782939000000,59839.89600000,241566368.74325144
1782939300000,59035.25400000,238285657.87548694
1782939600000,58713.20900000,236883138.76722000
1782939900000,58906.48900000,237781933.49740000
1782940200000,58716.96100000,237066794.18945000
1782940500000,58768.97200000,237349071.83696000
1782940800000,58746.48900000,237205144.78342474
1782941100000,58752.10100000,237214545.39255000
1782941400000,58738.27800000,237131714.73102000
1782941700000,58704.26100000,237025498.29882000
1782942000000,58273.12200000,235336003.19700000
1782942300000,58201.50400000,235056086.14464000
1782942600000,58178.27600000,234956129.46054637
1782942900000,58071.74300000,234465243.07993000
1782943200000,58011.84800000,234208333.33800000
1782943500000,57935.80700000,234100056.62876000
1782943800000,57882.39300000,233740693.54516506
1782944100000,57869.49000000,233762647.46520000
1782944400000,57996.57100000,234229591.36628000
1782944700000,58034.44600000,234533445.93088000
1782945000000,57957.80400000,234199078.09782097
1782945300000,57938.56800000,234094410.76152000
1782945600000,57982.98900000,234375359.15646000
1782945900000,58054.26000000,234660543.80340000
1782946200000,57628.52800000,233178278.84944000
1782946500000,57767.15000000,233694694.63900000
1782946800000,57620.95200000,233238665.71512000
1782947100000,57605.68100000,233077076.68022773
1782947400000,57631.68900000,233090820.75148480
1782947700000,57678.93100000,233035358.89026624
1782948000000,57436.50500000,232103214.16520000
1782948300000,57293.26200000,231353717.78506228
