timestamp,buy_sell_ratio,buy_vol,sell_vol
1782932700000,0.8285,253.9490,306.5140
1782933000000,0.5652,99.1510,175.4360
1782933300000,0.6781,131.0790,193.3110
1782933600000,0.8425,414.1880,491.6300
1782933900000,1.2381,278.8830,225.2590
1782934200000,0.7783,263.6530,338.7760
1782934500000,0.9789,135.9330,138.8640
1782934800000,0.4435,169.1590,381.3940
1782935100000,1.0538,315.6360,299.5240
1782935400000,1.4774,2147.8390,1453.8410
1782935700000,1.0277,1015.5610,988.2340
1782936000000,0.8305,1224.6930,1474.6490
1782936300000,1.4465,685.6740,474.0130
1782936600000,2.7899,535.6250,191.9860
1782936900000,2.0994,370.0660,176.2700
1782937200000,3.7679,940.7230,249.6710
1782937500000,2.5515,425.1890,166.6440
1782937800000,1.2865,386.8950,300.7450
1782938100000,0.6460,108.6290,168.1480
1782938400000,0.7981,162.1200,203.1330
1782938700000,5.1196,3282.8500,641.2270
1782939000000,2.2618,1935.1680,855.5850
1782939300000,1.0313,534.6580,518.4410
1782939600000,0.6776,168.5800,248.7890
1782939900000,4.0585,364.5420,89.8220
1782940200000,3.3884,391.0690,115.4130
1782940500000,0.8643,179.5040,207.6780
1782940800000,1.3404,67.3710,50.2600
1782941100000,1.1049,106.6730,96.5490
1782941400000,2.6315,166.8840,63.4170
1782941700000,4.0445,820.3660,202.8350
1782942000000,1.1614,166.7730,143.5970
1782942300000,1.5779,74.4130,47.1610
1782942600000,0.2992,75.5680,252.5700
1782942900000,0.8369,77.9400,93.1320
1782943200000,0.8922,857.8800,961.5770
1782943500000,1.5429,970.3540,628.9090
1782943800000,2.2504,495.6830,220.2690
1782944100000,0.9225,386.7830,419.2990
1782944400000,1.4538,452.1010,310.9710
1782944700000,1.0447,355.5000,340.3040
1782945000000,1.4322,398.8950,278.5180
1782945300000,1.2474,354.4980,284.1890
1782945600000,0.9377,295.2850,314.8960
1782945900000,3.1249,1303.4530,417.1130
1782946200000,0.8018,263.1760,328.2420
1782946500000,2.3613,533.0290,225.7400
1782946800000,1.3221,269.3430,203.7200
1782947100000,1.4156,215.9520,152.5550
1782947400000,0.5596,208.9720,373.4040
1782947700000,2.2343,490.2460,219.4220
1782948000000,1.1015,312.4530,283.6510
1782948300000,1.2998,624.2030,480.2170
1782948600000,0.6967,344.2680,494.1420
1782948900000,0.3256,218.5930,671.4250
1782949200000,1.5038,288.5930,191.9120
1782949500000,0.8226,291.2020,354.0190
1782949800000,1.8258,233.2090,127.7320
1782950100000,1.0040,87.0160,86.6700
1782950400000,0.8697,618.8820,711.5820
1782950700000,2.0670,901.0100,435.9120
1782951000000,2.2430,1057.0040,471.2380
1782951300000,0.8406,475.8630,566.0800
1782951600000,2.5771,388.0290,150.5680
1782951900000,2.1054,635.9180,302.0370
1782952200000,0.9581,315.5950,329.4050
1782952500000,1.4533,229.0800,157.6230
1782952800000,0.5314,213.9520,402.6400
1782953100000,2.9772,1096.5380,368.3140
1782953400000,1.8963,668.1520,352.3420
1782953700000,2.5848,725.3080,280.6050
1782954000000,0.8603,2210.6270,2569.6440
1782954300000,0.6765,640.8000,947.1810
1782954600000,1.0699,2066.5960,1931.6310
1782954900000,0.6173,1106.5310,1792.6550
1782955200000,0.7870,480.1180,610.0600
1782955500000,1.6861,545.6880,323.6420
1782955800000,0.6126,484.4850,790.8410
1782956100000,1.2450,329.9490,265.0180
1782956400000,1.1339,399.7730,352.5540
1782956700000,1.3718,512.2100,373.3720
1782957000000,2.2335,426.2020,190.8240
1782957300000,0.4310,131.1960,304.3660
1782957600000,0.9823,436.0080,443.8500
1782957900000,1.3031,457.6380,351.1920
1782958200000,1.2673,306.9330,242.1870
1782958500000,1.1933,326.4880,273.5990
1782958800000,1.1155,305.7630,274.1080
1782959100000,1.1157,125.5310,112.5170
1782959400000,1.3274,363.8330,274.0970
1782959700000,1.0985,235.4550,214.3470
1782960000000,1.6092,363.0140,225.5920
1782960300000,1.4084,362.0970,257.0970
1782960600000,1.8320,416.9290,227.5770
1782960900000,2.1281,485.5100,228.1410
1782961200000,0.8672,224.1260,258.4400
1782961500000,0.8055,176.1120,218.6490
1782961800000,1.0733,250.2520,233.1600
1782962100000,1.4306,331.0500,231.4050
1782962400000,1.0361,353.6460,341.3280
1782962700000,1.4824,472.4910,318.7250
1782963000000,0.5734,251.0340,437.7880
1782963300000,1.2880,763.9340,593.0980
1782963600000,1.7698,259.4950,146.6260
1782963900000,1.2390,370.4540,299.0060
1782964200000,1.3017,845.1160,649.2570
1782964500000,1.2388,1319.7900,1065.4090
1782964800000,1.3934,499.9310,358.7860
1782965100000,1.0337,323.6330,313.0840
1782965400000,0.8068,184.4300,228.5830
1782965700000,0.3942,216.0570,548.0990
1782966000000,1.0019,439.7290,438.8810
1782966300000,1.8308,446.4920,243.8720
1782966600000,0.8294,247.6530,298.6010
1782966900000,0.4753,223.0220,469.1990
1782967200000,0.4601,193.0580,419.6040
1782967500000,0.6358,135.8480,213.6630
1782967800000,1.6837,186.2600,110.6250
1782968100000,0.7675,204.1440,265.9870
1782968400000,0.4329,333.2850,769.8600
1782968700000,0.4891,165.2640,337.8600
1782969000000,1.2156,505.2180,415.6100
1782969300000,1.4070,272.9250,193.9740
1782969600000,2.4352,324.6900,133.3320
1782969900000,1.1798,456.3090,386.7530
1782970200000,0.8008,654.6020,817.4240
1782970500000,1.8370,589.9120,321.1350
1782970800000,1.4033,447.9980,319.2440
1782971100000,1.0364,270.5870,261.0790
1782971400000,0.7955,315.3070,396.3540
1782971700000,1.9840,709.9410,357.8290
1782972000000,1.4158,1362.4930,962.3470
1782972300000,0.5220,418.5510,801.8810
1782972600000,1.3468,346.6880,257.4230
1782972900000,1.5552,469.0300,301.5810
1782973200000,1.5059,795.1480,528.0060
1782973500000,0.9683,478.1360,493.7830
1782973800000,1.0928,182.8220,167.3000
1782974100000,0.4173,193.8980,464.6490
1782974400000,1.5332,3767.7470,2457.4350
1782974700000,0.6522,938.0750,1438.2380
1782975000000,0.7325,432.7440,590.7400
1782975300000,1.2426,457.6960,368.3230
1782975600000,1.1088,489.9070,441.8270
1782975900000,0.8950,242.8100,271.2840
1782976200000,1.1499,652.7410,567.6500
1782976500000,0.6891,305.2270,442.9590
1782976800000,0.6955,428.2930,615.7780
1782977100000,0.8073,447.0820,553.7840
1782977400000,1.0130,281.1080,277.5040
1782977700000,2.4812,426.9110,172.0590
1782978000000,0.8546,389.4790,455.7600
1782978300000,0.6246,327.1870,523.8660
1782978600000,1.1426,209.7890,183.6020
1782978900000,0.4592,198.8920,433.1390
1782979200000,1.3417,1831.0510,1364.6790
1782979500000,1.1407,534.1390,468.2590
1782979800000,0.5395,405.9980,752.5740
1782980100000,0.4995,563.8220,1128.7340
1782980400000,1.1475,626.4040,545.8750
1782980700000,1.7081,1071.7560,627.4670
1782981000000,0.9787,343.5110,350.9760
1782981300000,0.7176,279.8140,389.9320
1782981600000,0.5408,685.0610,1266.8500
1782981900000,2.0648,1245.2560,603.0770
1782982200000,1.4756,595.3880,403.4870
1782982500000,2.3121,3526.2050,1525.0830
1782982800000,2.5157,2185.5820,868.7880
1782983100000,0.7809,367.6950,470.8790
1782983400000,1.1960,230.0520,192.3550
1782983700000,0.8039,217.7510,270.8710
1782984000000,0.9777,326.0640,333.5150
1782984300000,0.8005,295.3190,368.9290
1782984600000,0.9312,1213.1330,1302.7950
1782984900000,1.4936,371.0220,248.4110
1782985200000,1.7403,909.5120,522.6300
1782985500000,1.0918,242.6870,222.2890
1782985800000,0.8854,298.6820,337.3460
1782986100000,1.3830,723.2890,522.9680
1782986400000,0.6139,346.1790,563.9130
1782986700000,1.4838,332.2030,223.8830
1782987000000,1.0354,795.1680,767.9880
1782987300000,0.8143,346.2100,425.1690
1782987600000,2.5253,539.3000,213.5560
1782987900000,1.3080,282.1740,215.7370
1782988200000,0.8436,176.0610,208.7070
1782988500000,0.7301,178.2130,244.1000
1782988800000,1.3844,517.5100,373.8130
1782989100000,0.9876,303.6250,307.4460
1782989400000,0.6902,315.3330,456.8970
