ts,datetime_wib,symbol,side,realized,roi_pct,duration_min,result,score,regime,news_bias,reason
1783081273.1742635,2026-07-03 19:21,SOLUSDT,LONG,-0.3153,-7.71,86,loss,,trending_down,neutral,SL/TP Binance
1783081302.9523902,2026-07-03 19:21,SOLUSDT,LONG,-0.3153,-7.71,1,loss,,trending_down,neutral,SL/TP Binance
1783166540.467152,2026-07-04 19:02,SOLUSDT,SHORT,-0.0852,-4.18,2,loss,,trending_down,long,SL/TP Binance
1783166564.8961542,2026-07-04 19:02,SOLUSDT,SHORT,-0.0852,-4.18,2,loss,,trending_down,neutral,SL/TP Binance
1783330437.2209353,2026-07-06 16:33,LINKUSDT,LONG,-0.5749,-9.54,83,loss,,ranging,neutral,SL/TP Binance
1783364953.6811502,2026-07-07 02:09,SOLUSDT,LONG,-0.4767,-5.69,16,loss,,trending_down,neutral,SL/TP Binance
1783381620.98474,2026-07-07 06:47,BNBUSDT,LONG,-0.7782,-9.41,153,loss,,trending_down,neutral,SL/TP Binance
1783382726.3052359,2026-07-07 07:05,XAGUSDT,SHORT,-0.1654,-2.0,7,loss,,trending_down,neutral,SL/TP Binance
1783386118.7819343,2026-07-07 08:01,XAGUSDT,SHORT,0.3911,5.43,22,win,,trending_down,neutral,SL/TP Binance
1783397072.7217216,2026-07-07 11:04,XAUUSDT,SHORT,-0.1131,-1.37,155,loss,,trending_down,neutral,SL/TP Binance
1783403580.0859149,2026-07-07 12:53,LINKUSDT,SHORT,-0.5957,-9.66,32,loss,,trending_down,neutral,SL/TP Binance
1783409322.1171427,2026-07-07 14:28,LINKUSDT,LONG,0.0003,0.0,38,win,,trending_down,neutral,SL/TP Binance
1783426015.2786725,2026-07-07 19:06,BNBUSDT,SHORT,-0.756,-9.35,240,loss,,trending_down,neutral,SL/TP Binance
1783426140.940345,2026-07-07 19:09,BTCUSDT,SHORT,-0.605,-9.58,44,loss,,trending_down,neutral,SL/TP Binance
1783435734.6882565,2026-07-07 21:48,SOLUSDT,SHORT,-0.5507,-6.82,10,loss,,trending_down,neutral,SL/TP Binance
1783478569.545626,2026-07-08 09:42,SOLUSDT,SHORT,-0.4272,-5.86,8,loss,,trending_down,neutral,SL/TP Binance
1783494765.9035873,2026-07-08 14:12,BNBUSDT,SHORT,-0.0597,-0.75,33,loss,,trending_down,neutral,SL/TP Binance
1783500838.7746582,2026-07-08 15:53,XAGUSDT,SHORT,0.0092,0.11,10,win,,trending_down,neutral,SL/TP Binance
1783511116.2215512,2026-07-08 18:45,BTCUSDT,SHORT,-0.6156,-9.97,146,loss,,trending_down,neutral,SL/TP Binance
1783511118.7543008,2026-07-08 18:45,XAGUSDT,SHORT,-0.3361,-6.42,6,loss,,trending_down,neutral,SL/TP Binance
1783516218.7289753,2026-07-08 20:10,BTCUSDT,SHORT,-0.0342,-0.55,10,loss,,trending_down,neutral,SL/TP Binance
1783517459.357854,2026-07-08 20:30,SOLUSDT,SHORT,-0.2914,-3.76,22,loss,,trending_down,neutral,SL/TP Binance
1783522082.2067502,2026-07-08 21:48,XAGUSDT,SHORT,0.0186,0.29,8,win,,high_volatility,neutral,SL/TP Binance
1783580840.0054352,2026-07-09 14:07,BNBUSDT,LONG,-0.0331,-0.44,30,loss,,trending_down,neutral,SL/TP Binance
1783587884.6751697,2026-07-09 16:04,XAUUSDT,LONG,0.262,3.05,164,win,,trending_down,neutral,SL/TP Binance
1783590875.5283809,2026-07-09 16:54,SOLUSDT,SHORT,-0.2581,-3.53,10,loss,,trending_down,neutral,SL/TP Binance
1783597186.206814,2026-07-09 18:39,XAGUSDT,SHORT,-0.0026,-0.06,24,loss,,trending_down,neutral,SL/TP Binance
1783597746.520306,2026-07-09 18:49,BTCUSDT,SHORT,-0.0302,-0.48,54,loss,,trending_down,neutral,SL/TP Binance
1783598051.0646698,2026-07-09 18:54,BNBUSDT,SHORT,0.1132,1.8,167,win,,trending_down,neutral,SL/TP Binance
1783601024.523665,2026-07-09 19:43,BTCUSDT,LONG,-0.0611,-0.97,22,loss,,trending_down,neutral,SL/TP Binance
1783601027.0417209,2026-07-09 19:43,XAGUSDT,LONG,0.0051,0.1,6,win,,trending_down,neutral,SL/TP Binance
1783602062.8186924,2026-07-09 20:01,XAGUSDT,LONG,-0.2772,-4.77,17,loss,,trending_down,neutral,SL/TP Binance
1783603053.7680426,2026-07-09 20:17,LINKUSDT,LONG,-0.0103,-0.18,190,loss,,trending_down,neutral,SL/TP Binance
1783603056.2999067,2026-07-09 20:17,BNBUSDT,LONG,-0.0264,-0.42,62,loss,,trending_down,neutral,SL/TP Binance
1783603186.6356618,2026-07-09 20:19,XAUUSDT,LONG,0.0137,0.18,70,win,,trending_down,neutral,SL/TP Binance
1783603314.2919204,2026-07-09 20:21,BTCUSDT,LONG,0.0588,0.94,29,win,,trending_down,neutral,SL/TP Binance
1783603316.7726038,2026-07-09 20:21,SOLUSDT,LONG,-0.0068,-0.19,27,loss,,trending_down,neutral,SL/TP Binance
1783604443.695398,2026-07-09 20:40,XAGUSDT,LONG,0.06,0.77,6,win,,trending_down,neutral,SL/TP Binance
1783606054.629869,2026-07-09 21:07,BNBUSDT,LONG,0.0375,0.66,2,win,,trending_down,neutral,SL/TP Binance
1783609463.1230803,2026-07-09 22:04,BNBUSDT,LONG,0.0103,0.12,10,win,,trending_down,neutral,SL/TP Binance
1783615087.627083,2026-07-09 23:38,SOLUSDT,SHORT,-0.3906,-4.51,10,loss,,trending_down,neutral,SL/TP Binance
1783620731.8383036,2026-07-10 01:12,SOLUSDT,LONG,0.0494,0.65,27,win,,trending_down,neutral,SL/TP Binance
1783623218.5945961,2026-07-10 01:53,BTCUSDT,LONG,-0.0035,-0.06,53,loss,,trending_down,neutral,SL/TP Binance
1783639583.9962618,2026-07-10 06:26,XAGUSDT,LONG,0.0839,1.1,182,win,,trending_down,neutral,SL/TP Binance
1783639586.8615818,2026-07-10 06:26,BNBUSDT,SHORT,0.0059,0.09,416,win,,trending_down,neutral,SL/TP Binance
1783643793.6646934,2026-07-10 07:36,SOLUSDT,SHORT,0.0368,0.57,72,win,,trending_down,neutral,SL/TP Binance
1783646584.9737768,2026-07-10 08:23,SOLUSDT,LONG,0.0449,0.52,4,win,,trending_down,neutral,SL/TP Binance
1783647726.4664564,2026-07-10 08:42,LINKUSDT,LONG,0.0459,0.53,18,win,,trending_down,neutral,SL/TP Binance
1783649134.584017,2026-07-10 09:05,SOLUSDT,LONG,-0.4745,-5.49,12,loss,,trending_down,neutral,SL/TP Binance
1783672900.4294715,2026-07-10 15:41,BTCUSDT,LONG,0.0454,0.71,245,win,,trending_down,neutral,SL/TP Binance
1783690045.784868,2026-07-10 20:27,BTCUSDT,LONG,-0.2941,-4.57,233,loss,,trending_down,neutral,SL/TP Binance
1783690298.4132454,2026-07-10 20:31,XAUUSDT,SHORT,0.0407,0.55,54,win,,trending_down,neutral,SL/TP Binance
1783694146.1521726,2026-07-10 21:35,SOLUSDT,SHORT,0.2435,2.85,12,win,,trending_down,neutral,SL/TP Binance
1783701104.365129,2026-07-10 23:31,XAUUSDT,SHORT,-0.4723,-6.41,117,loss,,trending_down,neutral,SL/TP Binance
1783710466.7785978,2026-07-11 02:07,LINKUSDT,SHORT,0.1836,2.15,90,win,,trending_down,neutral,SL/TP Binance
1783725904.5918496,2026-07-11 06:25,SOLUSDT,SHORT,-0.1903,-2.63,14,loss,,trending_down,neutral,SL/TP Binance
1783729435.9981637,2026-07-11 07:23,LINKUSDT,SHORT,0.0502,0.81,49,win,,trending_down,neutral,SL/TP Binance
1783729808.7519472,2026-07-11 07:30,SOLUSDT,SHORT,0.0599,0.83,62,win,,trending_down,neutral,SL/TP Binance
1783737843.4467115,2026-07-11 09:44,SOLUSDT,SHORT,-0.1751,-2.82,61,loss,,trending_down,neutral,SL/TP Binance
