fold,pair,n_test,n_trades,winrate,profit_factor,f1_long,f1_short,f1_hold,accuracy_train,accuracy_test
1,BNBUSDT_15m,34551,10336,0.5092,1.729,0.4345,0.5537,0.0614,,0.0259
2,BNBUSDT_15m,34551,10839,0.5268,1.855,0.2591,0.6306,0.0528,,0.0326
1,SOLUSDT_15m,34551,5218,0.5282,1.866,0.4644,0.5242,0.062,,0.0176
2,SOLUSDT_15m,34551,1300,0.5092,1.729,0.4522,0.5115,0.0644,,0.0325
1,LINKUSDT_15m,34551,2003,0.5352,1.919,0.4428,0.4934,0.0589,,0.0585
2,LINKUSDT_15m,34551,846,0.5177,1.789,0.4071,0.5428,0.0973,,0.0493
1,XAUUSDT_15m,4878,2037,0.4276,1.245,0.5237,0.3549,0.0992,,0.0312
2,XAUUSDT_15m,4878,1426,0.4642,1.444,0.4432,0.3981,0.1481,,0.0978
1,XAGUSDT_15m,4242,1341,0.4914,1.61,0.3069,0.5348,0.2344,,0.1113
2,XAGUSDT_15m,4242,1289,0.5268,1.855,0.4225,0.5499,0.1703,,0.0698
1,BTCUSDT_15m,366,283,0.5124,1.751,0.4373,0.568,0.0,,0.0137
2,BTCUSDT_15m,366,254,0.5118,1.747,0.4395,0.5845,0.0,,0.0027
1,BNBUSDT_5m,366,334,0.4132,1.173,0.0995,0.5737,0.0,,0.041
2,BNBUSDT_5m,366,267,0.5094,1.73,0.2456,0.632,0.1739,,0.0191
1,LINKUSDT_5m,366,294,0.4626,1.435,0.3987,0.5327,0.0,,0.0273
2,LINKUSDT_5m,366,310,0.4387,1.303,0.1506,0.5738,0.0,,0.0027
1,XAGUSDT_5m,366,339,0.5103,1.737,0.0357,0.6679,0.0,,0.0437
2,XAGUSDT_5m,366,265,0.4226,1.22,0.2157,0.5678,0.0,,0.1366
1,XAUUSDT_5m,366,347,0.4726,1.494,0.0,0.6414,0.0606,,0.0792
2,XAUUSDT_5m,366,296,0.5642,2.158,0.698,0.3091,0.0,,0.0
1,SOLUSDT_5m,366,316,0.3829,1.034,0.1776,0.527,0.0,,0.0219
2,SOLUSDT_5m,366,330,0.5818,2.319,0.1117,0.7055,0.0,,0.0082
1,BTCUSDT_5m,366,337,0.4362,1.289,0.1364,0.5927,0.0,,0.0383
2,BTCUSDT_5m,366,303,0.538,1.94,0.6525,0.3701,0.0,,0.0109
1,ALL,115337,5887,0.5352,1.919,0.3493,0.5203,0.0637,,0.1039
2,ALL,115337,21230,0.52,1.806,0.3865,0.5507,0.0955,,0.0562
